airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
JKH;Chios Island National Airport;38,34320068359375;26,140600204467773;Chios Island;GR;EU
PKH;Porto Cheli Airport;37,29891;23,148923;Porto Cheli;GR;EU
JIK;Ikaria Airport;37,6827011108;26,3470993042;Ikaria Island;GR;EU
IOA;Ioannina Airport;39,6963996887207;20,82250022888184;Ioannina;GR;EU
HER;Heraklion International Nikos Kazantzakis Airport;35,3396987915;25,1802997589;Heraklion;GR;EU
KSO;Kastoria National Airport Aristotle;40,446301;21,2822;Argos Orestiko;GR;EU
KIT;Kithira Airport;36,2742996216;23,0170001984;Kithira Island;GR;EU
EFL;Kefallinia Airport;38,12009811401367;20,5004997253418;Kefallinia Island;GR;EU
KZS;Kastelorizo Airport;36,1417007446;29,576400756799995;Kastelorizo Island;GR;EU
KLX;Kalamata Airport;37,06829833984375;22,02549934387207;Kalamata;GR;EU
KGS;Kos Airport;36,79330062866211;27,091699600219727;Kos Island;GR;EU
AOK;Karpathos Airport;35,4213981628418;27,145999908447266;Karpathos Island;GR;EU
CFU;Ioannis Kapodistrias International Airport;39,601898193359375;19,911699295043945;Kerkyra Island;GR;EU
KSJ;Kasos Airport;35,4213981628;26,9099998474;Kasos Island;GR;EU
KVA;Kavala Alexander the Great International Airport;40,9133;24,6192;Kavala;GR;EU
JKL;Kalymnos Airport;36,9632987976;26,9405994415;Kalymnos Island;GR;EU
KZI;Kozani State Airport Filippos;40,286098;21,840799;Kozani;GR;EU
LRS;Leros Airport;37,184898;26,800301;Leros Island;GR;EU
LXS;Limnos Airport;39,917098999;25,236299514799995;Limnos Island;GR;EU
LRA;Larisa Air Base;39,650253;22,4655;Larisa;GR;EU
JMK;Mikonos Airport;37,43510055541992;25,348100662231445;Mykonos Island;GR;EU
MLO;Milos Airport;36,696899;24,4769;Milos Island;GR;EU
MJT;Mytilene International Airport;39,0567016602;26,5983009338;Mytilene;GR;EU
JNX;Naxos Apollon Airport;37,0811;25,368099;Naxos;GR;EU
PAS;Paros National Airport;37,020495;25,113195;Paros;GR;EU
