station_id;station_name;station_latitud;station_longitud
64003;Moixent/mogente;38,8776138;-0,7536722
60900;La Encina;38,765344;-0,954244
60800;Almansa;38,867822;-1,105446
64200;Silla;39,3617388;-0,4149472
69011;Alcoy/alcoi;38,709349;-0,470247
69001;Genoves;38,98773;-0,47988
69002;Beniganim;38,938499;-0,453424
69003;La Pobla del Duc;38,907606;-0,453386
69004;Montaverner;38,884135;-0,491619
69005;Bufali;38,867405;-0,510478
69006;Albaida;38,845645;-0,518129
69007;Agullent;38,830569;-0,551183
69008;Ontinyent;38,809692;-0,602457
69009;Agres;38,796829;-0,521744
69010;Cocentaina;38,740618;-0,446789
64203;Alfafar-Benetusser;39,4223277;-0,3926
64202;Massanassa;39,4091638;-0,3953194
64201;Catarroja;39,3999611;-0,3991916
64107;Benifaio-Almussafes;39,2842194;-0,42995
64105;Algemesi;39,1931111;-0,4409083
64104;Alzira;39,1531194;-0,4506
64103;Carcaixent;39,1204694;-0,4543833
64102;La Pobla Llarga;39,083475;-0,4697027
64007;L.enova Manuel;39,0501935;-0,4778516
65001;Roca-Cuper;39,5261277;-0,3237777
65201;Les Valls;39,7192801;-0,2397542
65203;La Llosa;39,7680118;-0,2030695
65205;Moncofa;39,8208638;-0,1626861
79309;Figueres;42,265065;2,968787
71802;Barcelona-Passeig de Gracia;41,392281;2,164896
79009;Barcelona-Clot-Arago;41,41745;2,192893
79104;Sant Celoni;41,686024;2,491262
79200;Macanet-Massanes;41,778657;2,678775
79202;Sils;41,807683;2,74486
79203;Caldes de Malavella;41,841098;2,800765
79303;Flaca;42,047596;2,957506
79400;Barcelona-Estació de França;41,384089;2,187004
70806;Zaragoza Portillo;41,651563;-0,89466
70807;Zaragoza Goya;41,644103;-0,891188
71100;Zaragoza Miraflores;41,62977;-0,863064
71105;Quinto;41,419528;-0,490673
71108;La Zaida-Sastago;41,320542;-0,427115
71200;La Puebla de Hijar;41,2244;-0,438595
71201;Samper;41,182183;-0,368761
71204;Caspe;41,239738;-0,042701
71206;Fabara;41,234405;0,143284
71207;Nonaspe;41,213788;0,242472
71208;Faio-La Pobla de Massaluca (fayon);41,225247;0,350275
71209;Riba-Roja Debre;41,248451;0,480888
71210;Flix;41,229502;0,540071
71211;Asco;41,182479;0,568964
71300;Mora La Nova;41,106374;0,652893
71302;Capcanes;41,102057;0,78033
71303;Marca-Falset;41,130945;0,810328
71304;Pradell de La Teixeta;41,13324;0,858371
71306;Riudecanyes-Botarell;41,140027;0,975648
71307;Les Borges del Camp;41,165525;1,020774
71400;Reus;41,160524;1,099979
71401;Vila-Seca;41,112744;1,150389
71502;Altafulla-Tamarit;41,136446;1,37453
71503;Torredembarra;41,142857;1,40566
71600;Sant Vicenc de Calders;41,186245;1,526315
71700;Vilanova I La Geltru;41,219993;1,733331
71305;Duesaigues-Largentera;41,143776;0,920942
71301;Els Guiamets;41,093462;0,747173
73002;Juneda;41,543879;0,825584
73003;Les Borges Blanques;41,521461;0,877715
73005;Vinaixa;41,425077;0,970308
73006;Vimbodi I Poblet;41,40261;1,046008
73007;Lespluga de Francoli;41,400525;1,103389
73008;Montblanc;41,376648;1,165431
