route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id                                                                                                                                                                                                                                                                      
6000081100GL023,2022-09-012022-12-10007011,0070112022-09-01,,00701,,,                                                                                                                                                                                                                                                                                         
6000081110GL023,2022-09-012022-12-10007012,0070122022-09-01,,00701,,,                                                                                                                                                                                                                                                                                         
8110060000GL023,2022-09-012022-12-10007021,0070212022-09-01,,00702,,,                                                                                                                                                                                                                                                                                         
8111060000GL023,2022-09-012022-12-10007022,0070222022-09-01,,00702,,,                                                                                                                                                                                                                                                                                         
6000081100GL023,2022-09-012022-10-23007051,0070512022-09-01,,00705,,,                                                                                                                                                                                                                                                                                         
8110060000GL023,2022-09-012022-10-23007061,0070612022-09-01,,00706,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-09-012022-10-23008011,0080112022-09-01,,00801,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-09-012022-10-11008021,0080212022-09-01,,00802,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-10-132022-10-21008021,0080212022-10-13,,00802,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-042022-09-09010711,0107112022-09-04,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-112022-09-14010711,0107112022-09-11,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-152022-09-16010711,0107112022-09-15,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-172022-09-17010711,0107112022-09-17,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-182022-09-23010711,0107112022-09-18,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-252022-09-30010711,0107112022-09-25,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-10-022022-10-07010711,0107112022-10-02,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-10-092022-10-11010711,0107112022-10-09,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-10-132022-10-14010711,0107112022-10-13,,01071,,,                                                                                                                                                                                                                                                                                         
